Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/auth/register,2000,2000,60000.0,31491.397160359695,308.4543328732252,65516.054291976616,253.967,26.180978426542925,26.180978426542925,60000,60000,60000,60000,62000,64000,65000,65000,66000,66000,66000
,Aggregated,2000,2000,60000.0,31491.397160359695,308.4543328732252,65516.054291976616,253.967,26.180978426542925,26.180978426542925,60000,60000,60000,60000,62000,64000,65000,65000,66000,66000,66000
