Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/auth/login,132,132,27,3276.600926504188,0.7912921719253063,60152.7684580069,26.356060606060606,1.1068577101203887,1.1068577101203887,30,98,300,300,300,60000,60000,60000,60000,60000,60000
POST,/api/auth/register,2000,1867,530.0,28643.38174562644,309.571041027084,60779.09995801747,237.965,16.770571365460434,15.655328369657315,530,60000,60000,60000,60000,60000,61000,61000,61000,61000,61000
POST,/api/recipe/create [DB Write],6783,6783,300.0,726.203509611055,2.00458406470716,60512.661332963035,3.590299277605779,56.87739278595906,56.87739278595906,300,300,300,300,300,310,330,520,60000,61000,61000
GET,/api/recipe/get-all [Complex Read],20470,20470,300.0,571.5742128280491,0.9209159761667252,60531.42399992794,2.3065461651196872,171.64679792548753,171.64679792548753,300,300,300,300,300,310,320,510,60000,60000,61000
,Aggregated,29385,29252,300.0,2530.0404068685884,0.7912921719253063,60779.09995801747,18.750280755487495,246.4016197870274,245.2863767912243,300,300,300,300,320,340,60000,60000,61000,61000,61000
