Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/auth/register,22,0,38000.0,37100.45231428971,31086.99420792982,42394.82466713525,361.0,0.4979972133109668,0.0,38000,39000,40000,40000,41000,42000,42000,42000,42000,42000,42000
,Aggregated,22,0,38000.0,37100.45231428971,31086.99420792982,42394.82466713525,361.0,0.4979972133109668,0.0,38000,39000,40000,40000,41000,42000,42000,42000,42000,42000,42000
