Method,Name,Error,Occurrences
GET,/api/auth/exists [Public Read],"ConnectionResetError(54, 'Connection reset by peer')",2092
GET,/api/auth/exists [Public Read],RemoteDisconnected('Remote end closed connection without response'),972
