Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/auth/register,2000,2000,340.0,30106.533193385138,307.8624999616295,63392.11370795965,246.015,16.766408339651445,16.766408339651445,340,60000,60000,60000,60000,60000,62000,62000,63000,63000,63000
GET,/api/recipe/get-all [Journey],9914,9914,300.0,478.16186654264027,1.772125018760562,60325.01754187979,1.604196086342546,83.1110861396522,83.1110861396522,300,300,300,300,310,320,320,330,60000,60000,60000
,Aggregated,11914,11914,300.0,5451.868652985904,1.772125018760562,63392.11370795965,42.63337250293772,99.87749447930365,99.87749447930365,300,300,310,320,340,60000,60000,60000,63000,63000,63000
