Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/auth/exists [Public Read],7222,0,320.0,579.823102536098,151.13987494260073,4922.163834096864,5.0,163.83629761897538,0.0,320,500,700,860,1300,1900,2600,3000,4100,4900,4900
,Aggregated,7222,0,320.0,579.823102536098,151.13987494260073,4922.163834096864,5.0,163.83629761897538,0.0,320,500,700,860,1300,1900,2600,3000,4100,4900,4900
