Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/auth/register,26,26,311.5814169868827,313.7106587483476,311.5814169868827,316.8298751115799,0.0,1.3411756157696475,1.3411756157696475,310,310,310,310,320,320,320,320,320,320,320
,Aggregated,26,26,311.5814169868827,313.7106587483476,311.5814169868827,316.8298751115799,0.0,1.3411756157696475,1.3411756157696475,310,310,310,310,320,320,320,320,320,320,320
