Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/auth/login,10,0,1400.0,1867.8353418130428,869.765792042017,2825.0494580715895,361.0,0.3459577078962332,0.0,2200,2400,2500,2700,2800,2800,2800,2800,2800,2800,2800
POST,/api/auth/register,10,0,2000.0,1898.7025749869645,808.8774159550667,3086.1677918583155,361.0,0.3459577078962332,0.0,2000,2100,2300,3100,3100,3100,3100,3100,3100,3100,3100
POST,/api/recipe/create [DB Write],16,0,290.0,324.66282544191927,236.25108296982944,585.6852501165122,15.0,0.5535323326339732,0.0,300,330,390,390,490,590,590,590,590,590,590
GET,/api/recipe/get-all [Complex Read],50,0,220.0,283.3706558076665,160.1448329165578,930.7921249419451,213.34,1.729788539481166,0.0,220,280,300,400,500,700,930,930,930,930,930
,Aggregated,86,0,290.0,663.1222926215594,160.1448329165578,3086.1677918583155,210.77906976744185,2.9752362879076055,0.0,300,450,810,930,2100,2500,3100,3100,3100,3100,3100
