Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/auth/register,41,41,320.0,319.90148973787524,309.0805830433965,327.08891690708697,0.0,2.077310191708133,2.077310191708133,320,320,330,330,330,330,330,330,330,330,330
GET,/api/recipe/get-all [Journey],33,33,310.0,313.2786943337344,306.5182080026716,323.24429182335734,0.0,1.6719813738138631,1.6719813738138631,310,310,320,320,320,320,320,320,320,320,320
,Aggregated,74,74,320.0,316.94808097656914,306.5182080026716,327.08891690708697,0.0,3.7492915655219963,3.7492915655219963,320,320,320,320,330,330,330,330,330,330,330
