Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/auth/login,8,0,20000.0,19772.39807799924,16769.1142919939,21805.568458046764,361.0,0.2746079911729816,0.0,20000,20000,21000,21000,22000,22000,22000,22000,22000,22000,22000
POST,/api/auth/register,46,0,22000.0,19217.357928464797,3156.5491249784827,26794.46979193017,361.0,1.5789959492446441,0.0,23000,24000,25000,25000,26000,26000,27000,27000,27000,27000,27000
GET,/api/recipe/get-all [Complex Read],1,0,1890.3483748435974,1890.3483748435974,1890.3483748435974,1890.3483748435974,2.0,0.0343259988966227,0.0,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
,Aggregated,55,0,21000.0,18983.054503785785,1890.3483748435974,26794.46979193017,354.4727272727273,1.8879299393142486,0.0,21000,24000,25000,25000,26000,26000,27000,27000,27000,27000,27000
