Method,Name,Error,Occurrences
POST,/api/auth/register,"CatchResponseError('Registration failed: <!DOCTYPE html>\n<html>\n<head>\n<title>Error</title>\n<style>\nhtml { color-scheme: light dark; }\nbody { width: 35em; margin: 0 auto;\nfont-family: Tahoma, Verdana, Arial, sans-serif; }\n</style>\n</head>\n<body>\n<h1>An error occurred.</h1>\n<p>Sorry, the page you are looking for is currently unavailable.<br/>\nPlease try again later.</p>\n<p>If you are the system administrator of this resource then you should check\nthe error log for details.</p>\n<p><em>Faithfully yours, nginx.</em></p>\n</body>\n</html>\n')",990
GET,/api/recipe/get-all [Journey],RemoteDisconnected('Remote end closed connection without response'),5339
GET,/api/recipe/get-all [Journey],HTTPError('504 Server Error: Gateway Time-out for url: /api/recipe/get-all [Journey]'),32
GET,/api/recipe/get-all [Journey],"ConnectionResetError(54, 'Connection reset by peer')",4543
POST,/api/auth/register,CatchResponseError('Registration failed: '),1010
