Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/auth/register,40,40,330.0,330.2489907364361,323.0868331156671,333.01329193636775,0.0,1.6758702661170206,1.6758702661170206,330,330,330,330,330,330,330,330,330,330,330
POST,/api/recipe/create [DB Write],5,5,310.0,311.0114499926567,306.7799168638885,313.70116700418293,0.0,0.20948378326462758,0.20948378326462758,310,310,310,310,310,310,310,310,310,310,310
GET,/api/recipe/get-all [Complex Read],26,26,310.0,311.0162499718941,303.33875003270805,316.82595796883106,0.0,1.0893156729760634,1.0893156729760634,310,310,310,310,320,320,320,320,320,320,320
,Aggregated,71,71,330.0,321.8512588547884,303.33875003270805,333.01329193636775,0.0,2.9746697223577114,2.9746697223577114,330,330,330,330,330,330,330,330,330,330,330
